NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)
254000 ZYRYANKA                                        RA  6544N 15054E    43   
255510 MARKOVO                                         RA  6441N 17025E    33   
255630 ANADYR'                                         RA  6447N 17734E    62   
259130 MAGADAN                                         RA  5935N 15047E   118   
259560 APUKA                                           RA  6027N 16935E     8   
260380 TALLINN                                         BY  5921N 02448E    44   
260630 LENINGRAD                                       RS  5958N 03018E     4   
261150 KOPU/CAPE RISTNA                                BY  5855N 02204E     9   
262580 PSKOV                                           RS  5748N 02825E    42   
264060 LIEPAJA                                         BY  5633N 02101E     8   
264220 RIGA                                            BY  5658N 02404E     3   
265090 KLAIPEDA                                        BY  5542N 02109E    10   
266290 KAUNAS                                          BY  5453N 02353E    75   
266660 VITEBSK                                         BY  5510N 03008E   176   
267020 KALININGRAD                                     BY  5442N 02037E    27   
267300 VILNIUS                                         BY  5438N 02517E   156   
267810 SMOLENSK                                        RS  5445N 03204E   241   
268250 GRODNO                                          BY  5341N 02350E   135   
268500 MINSK                                           BY  5352N 02732E   234   
268630 MOGILEV                                         BY  5354N 03019E   193   
268980 BRYANSK                                         RS  5320N 03414E   217   
269610 BOBRUYSK                                        BY  5307N 02915E   165   
270370 VOLOGDA                                         RS  5914N 03952E   131   
271130 CHEREPOVETS                                     RS  5907N 03756E   131   
271960 KIROV                                           RS  5839N 04937E   147   
272250 RYBINSK                                         RS  5800N 03850E   114   
275185 MOSCOW: VNUKOVO                                 RS  5539N 03716E   203   
275320 VLADIMIR                                        RS  5608N 04023E   170   
275530 GOR'KIY                                         RS  5613N 04349E    82   
275950 KAZAN'                                          RS  5547N 04911E   116   
276120 MOSCOW                                          RS  5545N 03738E   156   
277030 KALUGA                                          RS  5434N 03622E   201   
277310 RYAZAN'                                         RS  5437N 03943E   170   
279060 OREL                                            RS  5300N 03602E   203   
279280 YELETS                                          RS  5238N 03831E   168   
279470 TAMBOV                                          RS  5244N 04128E   139   
279620 PENZA                                           RS  5308N 04501E   174   
280440 SEROV                                           RA  5936N 06032E   132   
282250 PERM'                                           RA  5801N 05618E   172   
282400 NIZHNIY TAGIL                                   RA  5753N 06004E   258   
284110 IZHEVSK                                         RA  5649N 05316E   158   
284400 SVERDLOVSK                                      RA  5648N 06038E   237   
286420 CHELYABINSK                                     RA  5518N 06132E   227   
286610 KURGAN                                          RA  5528N 06524E    79   
286980 OMSK                                            RA  5456N 07324E   123   
287220 UFA                                             RA  5445N 05600E   105   
288380 MAGNITOGORSK                                    RA  5321N 05905E   382   
289000 KUYBYSHEV                                       RA  5315N 05027E    44   
289520 KUSTANAY                                        RA  5313N 06337E   156   
292310 KOLPASHEVO                                      RA  5818N 08253E    76   
295740 KRASNOYARSK                                     RA  5600N 09253E   277   
295940 TAYSHET                                         RA  5557N 09800E   302   
296340 NOVOSIBIRSK                                     RA  5502N 08254E   177   
296420 KEMEROVO                                        RA  5523N 08604E   262   
298380 BARNAUL                                         RA  5324N 08342E   252   
298460 NOVOKUZNETSK                                    RA  5344N 08711E   308   
298650 ABAKAN                                          RA  5345N 09124E   245   
301170 UST'ILIMSK                                      RA  5802N 10244E   402   
303090 BRATSK                                          RA  5604N 10150E   489   
305040 TULUN                                           RA  5436N 10038E   522   
307100 IRKUTSK                                         RA  5216N 10421E   513   
307580 CHITA                                           RA  5201N 11320E   685   
308230 ULAN UDE                                        RA  5148N 10726E   510   
309250 KYAKHTA                                         RA  5022N 10627E   801   
309650 BORZYA                                          RA  5023N 11631E   684   
310040 ALDAN                                           RA  5837N 12522E   682   
313690 NIKOLAYEVSK                                     RA  5309N 14042E    68   
314450 SVOBODNYY                                       RA  5127N 12807E   197   
315100 BLAGOVESHCHENSK                                 RA  5015N 12730E   137   
315610 KOMSOMOL'SK                                     RA  5036N 13702E    19   
317350 KHABAROVSK                                      RA  4831N 13510E    72   
319600 VLADIVOSTOK                                     RA  4307N 13154E   184   
320610 ALEKSANDROVSK                                   RA  5054N 14210E    31   
321500 YUZHNO SAKHALINSK                               RA  4655N 14244E    31   
321650 JUZNO-KURILSK                                   RA  4401N 14552E    40   
321860 URUP ISLAND                                     RA  4612N 15030E    70   
324080 UST'KAMCHATSK                                   RA  5613N 16228E    27   
325400 PETROPAVLOVSK KAMCHATSKIY                       RA  5258N 15845E    24   
325940 OZERNAJA                                        RA  5129N 15629E    29   
326180 NIKOL'SKOYE                                     RA  5512N 16559E     6   
330410 GOMEL'                                          BY  5227N 03100E   127   
331350 CHERNIGOV                                       UR  5129N 03117E   137   
332750 SUMY                                            UR  5053N 03447E   174   
333010 ROVNO                                           UR  5035N 02608E   234   
333250 ZHITOMIR                                        UR  5016N 02838E   227   
333450 KIEV                                            UR  5024N 03027E   168   
335060 POLTAVA                                         UR  4936N 03433E   159   
335620 VINNITSA                                        UR  4914N 02828E   298   
336310 UZHGOROD                                        UR  4838N 02216E   118   
336580 CHERNOVTSKY                                     UR  4816N 02558E   240   
337110 KIROVOGRAD                                      UR  4829N 03215E   172   
337910 KRIVOY ROG                                      UR  4756N 03320E   125   
338150 KISHINEV                                        UR  4701N 02852E   180   
338370 ODESSA                                          UR  4629N 03038E    35   
339020 KHERSON                                         UR  4640N 03237E    48   
339460 SIMFEROPOL'                                     UR  4501N 03359E   181   
339830 KERCH                                           UR  4524N 03625E    49   
340090 KURSK                                           RS  5144N 03616E   210   
341220 VORONEZH                                        RS  5142N 03910E   154   
341720 SARATOV                                         RS  5134N 04602E   156   
343000 KHAR'KOV                                        UR  4952N 03608E   152   
345040 DNEPROPETROVSK                                  UR  4822N 03505E   142   
345190 DONETSK                                         UR  4804N 03746E   226   
345230 VOROSHILOVGRAD                                  UR  4836N 03916E    62   
345600 VOLGOGRAD                                       RS  4841N 04421E   145   
